D:\Megha\SelfDrivingCar\Data\IMG\center_2023_07_08_14_37_50_128.jpg, D:\Megha\SelfDrivingCar\Data\IMG\left_2023_07_08_14_37_50_128.jpg, D:\Megha\SelfDrivingCar\Data\IMG\right_2023_07_08_14_37_50_128.jpg, 0, 0, 0, 7.494977
D:\Megha\SelfDrivingCar\Data\IMG\center_2023_07_08_14_37_50_228.jpg, D:\Megha\SelfDrivingCar\Data\IMG\left_2023_07_08_14_37_50_228.jpg, D:\Megha\SelfDrivingCar\Data\IMG\right_2023_07_08_14_37_50_228.jpg, 0, 0, 0, 7.417505
D:\Megha\SelfDrivingCar\Data\IMG\center_2023_07_08_14_37_50_334.jpg, D:\Megha\SelfDrivingCar\Data\IMG\left_2023_07_08_14_37_50_334.jpg, D:\Megha\SelfDrivingCar\Data\IMG\right_2023_07_08_14_37_50_334.jpg, 0, 0, 0, 7.34081
D:\Megha\SelfDrivingCar\Data\IMG\center_2023_07_08_14_37_50_441.jpg, D:\Megha\SelfDrivingCar\Data\IMG\left_2023_07_08_14_37_50_441.jpg, D:\Megha\SelfDrivingCar\Data\IMG\right_2023_07_08_14_37_50_441.jpg, 0, 0, 0, 7.249791
D:\Megha\SelfDrivingCar\Data\IMG\center_2023_07_08_14_37_50_543.jpg, D:\Megha\SelfDrivingCar\Data\IMG\left_2023_07_08_14_37_50_543.jpg, D:\Megha\SelfDrivingCar\Data\IMG\right_2023_07_08_14_37_50_543.jpg, 0, 0, 0, 7.174778
D:\Megha\SelfDrivingCar\Data\IMG\center_2023_07_08_14_37_50_648.jpg, D:\Megha\SelfDrivingCar\Data\IMG\left_2023_07_08_14_37_50_648.jpg, D:\Megha\SelfDrivingCar\Data\IMG\right_2023_07_08_14_37_50_648.jpg, 0, 0, 0, 7.100523
D:\Megha\SelfDrivingCar\Data\IMG\center_2023_07_08_14_37_50_754.jpg, D:\Megha\SelfDrivingCar\Data\IMG\left_2023_07_08_14_37_50_754.jpg, D:\Megha\SelfDrivingCar\Data\IMG\right_2023_07_08_14_37_50_754.jpg, 0, 0, 0, 7.027009
D:\Megha\SelfDrivingCar\Data\IMG\center_2023_07_08_14_37_50_855.jpg, D:\Megha\SelfDrivingCar\Data\IMG\left_2023_07_08_14_37_50_855.jpg, D:\Megha\SelfDrivingCar\Data\IMG\right_2023_07_08_14_37_50_855.jpg, 0, 0, 0, 6.954236
D:\Megha\SelfDrivingCar\Data\IMG\center_2023_07_08_14_37_50_961.jpg, D:\Megha\SelfDrivingCar\Data\IMG\left_2023_07_08_14_37_50_961.jpg, D:\Megha\SelfDrivingCar\Data\IMG\right_2023_07_08_14_37_50_961.jpg, 0, 0, 0, 6.867869
D:\Megha\SelfDrivingCar\Data\IMG\center_2023_07_08_14_37_51_065.jpg, D:\Megha\SelfDrivingCar\Data\IMG\left_2023_07_08_14_37_51_065.jpg, D:\Megha\SelfDrivingCar\Data\IMG\right_2023_07_08_14_37_51_065.jpg, -0.1434672, 0, 0, 6.792739
